,$\nu = 6$ bounds,$\nu = 6$ cons
PB1,3521.4821234,3520.67523553
PB2,967.238558181,967.361961406
PB3,6733.84303002,6732.94598858
PB4,1336005.26831,1336003.71507
PB5,2986595.23871,2986901.10762
PB6,1650201.91411,1650622.5052
PB7,15545953.6718,15547147.5236
PB8,126527.737711,126671.472602
PB9,3210.45402557,3210.43651939
PB10,11159.320468,11158.7322959
PB11,19469.2891279,19468.8600328
PB12,168427.635828,168692.873884
PB13,158769.181587,158898.028677
PB14,1023217.41771,1023542.10349
PB15,3223414.57538,3224208.49564
PB16,147651.859056,147489.408373
PB17,4251.8089048,4250.71158628
PB18,21759.2093318,21754.3835798
PB19,238819.218751,238569.112549
PB20,202030.017058,201817.125068
PB21,97662.7065194,97760.2332241
PB22,3135845.03854,3135811.93909
PB23,207892.717908,207402.508221
PB24,744279.142421,744387.572923
PB25,35522.4000009,35517.9473163
PB26,1408.5722979,1408.28617341
PB27,146408.348928,146505.148649
PB28,1137380.89072,1137367.39214
PB29,15844.658715,15842.8350828
PB30,2668.15976965,2667.9468758
PB31,35443.2139954,35444.5921304
PB32,4972386.02899,4972239.34408
PB33,1381625.43513,1381238.40433
PB34,3619855.90133,3620029.27407
PB35,11793.4034685,11784.6627875
PB36,13954.2907191,13952.4882126
PB37,139110.138629,139100.483574
PB38,374666.10392,374789.897976
PB39,7574.19663583,7572.7489316
PB40,503826.879767,503801.203491
PB41,3914500.7431,3914320.84943
PB42,966915.005691,966791.178842
PB43,1444697.8846,1444756.71297
PB44,669602.138749,669761.705581
PB45,4335109.8685,4335115.85799
PB46,1466350.63053,1466847.11216
PB47,59778.0695322,59777.9505924
PB48,1475506.96484,1475057.56573
PB49,389712.964759,389989.49345
PB50,5898239.70332,5897601.91498
PB51,514268.103683,514319.705256
PB52,234.818078542,234.715770716
PB53,285569.314656,285483.924824
PB54,77432.8411309,77343.7577761
PB55,238588.250204,238653.139876
PB56,11016729.5622,11015677.9267
PB57,2091933.30671,2091606.684
PB58,4400.54541344,4398.84017234
PB59,8849402.9187,8849949.25894
PB60,213270.819172,213118.577258
PB61,273401.437253,273544.607172
PB62,1182.46679244,1182.31629212
PB63,1311.71880965,1311.5208142
PB64,140301.450195,140015.717568
PB65,983632.886362,983803.568503
PB66,567812.813934,567515.439199
PB67,15041.5685634,15040.0956487
PB68,91693.6180018,91587.3079005
PB69,4594.65700744,4594.32074431
PB70,838546.233763,838582.554844
PB71,52967.7630947,52967.7235746
PB72,47872.3868288,47854.854986
PB73,1597141.6949,1596807.52886
PB74,1994797.54048,1994510.11761
