,$\nu = 2$ bounds,$\nu = 2$ cons
PB1,3490.70629853,3490.20334263
PB2,984.295716565,984.09968801
PB3,6899.44714033,6899.42607714
PB4,1354421.24482,1354298.67223
PB5,2933957.36683,2932514.40658
PB6,1625585.20886,1625776.57945
PB7,15305416.4071,15303420.783
PB8,126757.054164,126650.294198
PB9,2801.35367466,2800.77801366
PB10,11115.1153013,11114.2306266
PB11,18115.0825105,18114.9693654
PB12,153301.303196,153239.866943
PB13,141703.385877,141678.653946
PB14,955019.582718,953611.135776
PB15,3190887.58614,3190900.30075
PB16,122883.244688,123020.306817
PB17,4214.7015963,4214.343206
PB18,22098.8791569,22093.547322
PB19,230957.916168,230557.246256
PB20,167275.214493,167254.145719
PB21,97014.0067268,97019.2432864
PB22,3104289.93018,3104510.73653
PB23,208274.155439,208136.264965
PB24,749088.715088,748783.79376
PB25,36080.3742335,36071.4262627
PB26,1396.26765525,1396.16325715
PB27,129424.363669,129281.23659
PB28,1134689.64268,1134622.96409
PB29,16093.6929557,16089.3482571
PB30,2549.77855906,2549.04152268
PB31,30354.2900132,30351.8291629
PB32,5046456.04455,5047042.54144
PB33,1345344.88105,1345433.83652
PB34,3459603.51494,3459733.91848
PB35,11089.8433983,11089.2874457
PB36,14172.0504456,14168.9504304
PB37,120167.776223,120178.990698
PB38,371432.241222,371314.559082
PB39,7549.03408334,7547.9184516
PB40,493062.520993,492980.695883
PB41,3965742.39894,3967142.16829
PB42,1035740.78773,1036597.09067
PB43,1449376.99435,1447277.04353
PB44,663805.882432,663164.105697
PB45,4335654.14763,4337324.83823
PB46,1436036.03278,1436249.00546
PB47,56308.2028536,56301.1179794
PB48,1395847.70696,1395485.08541
PB49,398896.558208,399139.4085
PB50,6016057.67394,6012727.65239
PB51,484165.970277,483786.817512
PB52,232.716038739,232.707215765
PB53,258241.010525,258017.329646
PB54,77558.3594183,77675.2239163
PB55,217545.355532,217441.574302
PB56,10936442.2809,10942481.1466
PB57,2084294.96126,2085654.52014
PB58,4349.38831243,4348.89909327
PB59,8987272.72886,8987630.23006
PB60,196254.567693,196416.664616
PB61,228053.514541,227741.576747
PB62,1201.0419384,1200.74814402
PB63,1316.51334584,1316.46613648
PB64,112735.113955,112736.78148
PB65,901973.893526,901465.764121
PB66,528489.879005,528254.35975
PB67,14741.730349,14740.3257181
PB68,76458.2156543,76546.332497
PB69,3904.23766361,3903.9742385
PB70,836990.367566,837405.06682
PB71,52189.0060403,52188.3387425
PB72,42813.3020973,42803.2229321
PB73,1498457.90891,1499160.33341
PB74,1936378.67928,1936053.32102
