,99.0,99.7
PB1,38173.7514398,54418.3689327
PB2,9969.755724,14086.8059714
PB3,71407.2361733,100320.4792
PB4,14641357.5957,21010398.9335
PB5,33377366.1375,48550056.8705
PB6,18041140.3241,25927350.7499
PB7,173499021.718,250627510.536
PB8,1394209.45335,2027091.25505
PB9,41304.4939113,68584.4037132
PB10,136398.568826,208646.482466
PB11,254107.093883,413258.971221
PB12,2103942.98406,3366458.31961
PB13,1916229.36572,2987469.48785
PB14,12306982.9936,19139282.9058
PB15,36534239.4094,53176820.4824
PB16,1614461.46477,2481705.37316
PB17,46090.9874885,65704.7386493
PB18,234132.342164,333765.99612
PB19,2768365.60737,4096233.17869
PB20,2278825.82876,3533880.7218
PB21,1038074.5749,1498378.15834
PB22,33957271.3112,48947639.7414
PB23,2429033.63541,3590936.15133
PB24,8230227.51007,11881629.2068
PB25,382264.312168,544934.662818
PB26,15269.5005759,21767.3475731
PB27,1649620.34287,2553055.0571
PB28,12110614.011,17342287.6507
PB29,170509.423098,243068.714566
PB30,27280.902718,38105.3734301
PB31,384350.00779,591969.908302
PB32,53680364.78,76859692.5809
PB33,15902410.6212,23334029.1088
PB34,39913459.5228,57371549.0516
PB35,124748.143957,181422.977371
PB36,150150.088997,214045.584468
PB37,1422018.99855,2129048.79969
PB38,4289331.04115,6278413.98998
PB39,81424.53213,115201.452759
PB40,5338085.32223,7649407.50374
PB41,42572489.9785,60894085.3237
PB42,9998273.49646,13747577.1393
PB43,16748077.8085,24589283.659
PB44,8205484.17021,12229714.2671
PB45,48531909.5919,70349334.872
PB46,16000843.4177,22967888.8273
PB47,664446.887761,979539.440865
PB48,17285745.568,25234403.1143
PB49,4245174.21831,6157948.79762
PB50,62503713.2608,87547617.5202
PB51,6196423.76133,9422916.00385
PB52,2544.91676266,3627.89126218
PB53,2900656.37143,4241003.367
PB54,765404.7043,1055363.73096
PB55,2545625.09017,3730165.75474
PB56,119510933.839,170257382.227
PB57,23609997.0572,34345653.228
PB58,48042.8807267,68784.3456685
PB59,96657070.0799,138293513.297
PB60,2251349.5419,3312566.97762
PB61,3025412.27526,4776764.49136
PB62,12724.5838133,18139.4563109
PB63,15335.4269886,22681.108612
PB64,1581286.35418,2512707.2932
PB65,10614204.221,16074265.3888
PB66,6720969.53576,10419860.5455
PB67,214372.35458,351101.729897
PB68,993963.11821,1498656.65887
PB69,46913.4463937,69165.8547711
PB70,9418328.79304,13765443.994
PB71,616749.269161,909236.347481
PB72,547290.718371,835194.904405
PB73,17467222.6429,25692460.9033
PB74,22095978.1357,32053698.9534
