,99.0,99.7
PB1,37847.7675128,54472.4131993
PB2,10075.4996896,14012.514366
PB3,70518.5369824,101517.356602
PB4,14530222.3313,21194663.5568
PB5,32949869.1813,48482887.9202
PB6,17942993.1956,25867316.5107
PB7,171512522.063,253938622.238
PB8,1392285.93157,2046881.5684
PB9,41702.2681992,65465.9000994
PB10,137736.036773,214074.204145
PB11,254158.237029,400456.57135
PB12,2051711.02539,3286682.50775
PB13,1869419.45991,2889079.85327
PB14,12233804.3847,19131357.2951
PB15,36933744.1936,54594455.2908
PB16,1551361.89109,2244680.77394
PB17,45697.3944949,65769.9916969
PB18,232132.974078,334097.467623
PB19,2751652.16071,4105972.83241
PB20,2215662.51006,3248365.28264
PB21,1036809.04997,1478996.26938
PB22,33877657.7628,49174273.7801
PB23,2453034.48573,3691280.8986
PB24,8137519.29065,12064320.5629
PB25,378999.974319,545475.851296
PB26,15139.1070051,21788.9652797
PB27,1623589.87287,2444067.35737
PB28,12179932.6736,17351372.8317
PB29,169053.361557,243310.11229
PB30,27148.0082858,37745.9285094
PB31,378160.179416,548431.942857
PB32,53275872.0346,76929648.6581
PB33,15776086.6338,23509498.7543
PB34,39406296.6985,56448677.6968
PB35,122043.34373,172133.027559
PB36,148867.88555,214258.158584
PB37,1379900.93753,1979076.58217
PB38,4265564.91942,6245764.03814
PB39,80127.7310305,115651.606128
PB40,5341594.48324,7754551.42726
PB41,42369026.5826,61454762.3489
PB42,10115622.3778,14493343.3062
PB43,16872771.2137,25240700.7304
PB44,8166900.22235,12111394.7402
PB45,48198782.0842,71992107.669
PB46,15801628.2969,22754508.3617
PB47,653734.088139,959149.715661
PB48,16901142.794,25748731.4468
PB49,4271722.55288,6098462.17989
PB50,61768960.9578,88405794.5845
PB51,6158027.16899,9240871.16417
PB52,2523.18450085,3631.49421329
PB53,2858028.28683,3974317.05775
PB54,768528.866443,1070151.39048
PB55,2460073.4294,3509596.77235
PB56,118599645.137,171187452.595
PB57,23472031.0207,35051581.8904
PB58,47822.1397008,69065.0864571
PB59,96074901.8038,139888495.364
PB60,2202502.2692,3130491.9368
PB61,2851257.54377,4116020.58808
PB62,12615.9225043,18157.4710664
PB63,15485.4892041,23316.1723293
PB64,1538190.50936,2336046.76659
PB65,10584155.0604,15734594.0035
PB66,6688705.50391,10334723.3721
PB67,216863.815648,358386.262035
PB68,913123.076306,1291056.25793
PB69,45473.8186182,63935.7545299
PB70,9417358.28723,14006086.1344
PB71,617216.822234,921086.788692
PB72,535884.561606,802641.986222
PB73,17069217.6845,24807755.3505
PB74,21987295.9527,31834019.938
