,$\nu = 50$ bounds
PB1,3811.95298074
PB2,1747.1417604
PB3,5472.28628937
PB4,1097495.06167
PB5,2554324.07101
PB6,1066476.60254
PB7,15683299.8332
PB8,133693.912047
PB9,4775.03878786
PB10,14696.7297773
PB11,26267.9123164
PB12,182509.45421
PB13,174932.189615
PB14,965921.780151
PB15,2372006.01289
PB16,152391.086649
PB17,4189.95713032
PB18,26962.1569062
PB19,247682.219619
PB20,160992.825979
PB21,88053.4575878
PB22,2280223.37144
PB23,215072.991628
PB24,691204.32872
PB25,43254.6871129
PB26,1643.29855094
PB27,169876.893515
PB28,711413.004681
PB29,19127.1624128
PB30,4015.84616792
PB31,44828.6370737
PB32,4559765.56162
PB33,1174808.3009
PB34,2777167.02585
PB35,14234.1431714
PB36,16439.1654707
PB37,135199.921306
PB38,370344.290679
PB39,5017.86515755
PB40,332666.736012
PB41,3421522.9457
PB42,847119.591859
PB43,1248478.84227
PB44,627883.413937
PB45,3931879.06303
PB46,930725.927232
PB47,70537.0577415
PB48,1039032.4529
PB49,375765.564386
PB50,5606449.71144
PB51,514431.153572
PB52,1265.04186247
PB53,258785.509719
PB54,70069.3055608
PB55,251110.626179
PB56,10400275.7521
PB57,1737801.94121
PB58,4253.68938448
PB59,8605551.70159
PB60,212134.498138
PB61,285246.485995
PB62,1016.23233141
PB63,1417.30703762
PB64,155592.637783
PB65,977289.388082
PB66,574677.357524
PB67,19274.0206901
PB68,100483.113454
PB69,5887.47813597
PB70,773130.398965
PB71,63034.7243173
PB72,60714.0242467
PB73,1393145.369
PB74,1371818.11023
