,AAI,AEX,AF,AGN,AH,AHA,AI,AKZ,AL1,ASL,ASM,ATO,AVH,BAM,BAR,BB,BEK,BN,BNP,BOS,BXF,CA,CAP,CDI,CNP,CO,COL,CS,CSM,DEL,DG,DSM,DSY,EAD,EF,EN,EO,EX,FCE,FG,FP,FR,FTE,FUR,GBL,GLE,HEI,HEY,HO,IE,IHC,ING,KBC,KER,KPN,MC,ML,MMB,MMT,MOB,OR,ORD,PHI,PNL,PUB,RD,REN,RF,RI,RND,RNO,SAN,SGO,SOL,STM,SU,SW,TEC,TF1,TMS,UCB,UG,UL,UMC,UN,VIE,VK,VPK,WHV,WKL
PB35,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2076.0,0.0,0.0,0.0,-3217.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.762,0.0,211.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2802.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29183.0,0.0,0.0,0.0,0.0,0.0
PB36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB37,0.0,0.0,-526463.09,-353943.6,0.0,-31496.93,7478.1492,0.0,0.0,0.0,0.0,-8526.14,0.0,-216912.37,0.0,0.0,0.0,16208.565,87131.312,0.0,0.0,133813.855,-29506.641,3811.84,0.0,-57309.982,0.0,90630.994,0.0,0.0,39038.236,0.0,556.68,42787.748,-11479.66,-41647.73,-125.52,-277057.58,0.0,0.0,193942.142,-33232.36,68371.814,0.0,0.0,-56525.688,0.0,0.0,1562.27,0.0,0.0,0.0,0.0,19298.51,175431.8656,-26811.392,61079.523,7698.81,0.0,0.0,13444.96,0.0,0.0,-317111.8,-17249.0,0.0,0.0,0.0,9488.308,0.0,-49326.86,-20180.839,97880.354,0.0,42237.25,-34415.2,-89.1,-13940.76,-7709.4085,2554.0,0.0,-349084.66,-4152.17,0.0,0.0,80750.887,-316965.6648,0.0,0.0,0.0
PB38,0.0,85600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2986.0,0.0,0.0,0.0,0.0,-4605.94,0.0,0.0,0.0,0.0,245353.0,0.0,0.0,0.0,1459.26,0.0,-761.14,0.0,0.0,0.0,0.0,6590.0,0.0,-887.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16548.12,0.0,-1760.64,0.0,276.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8037.07,0.0,-224.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24471.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB39,0.0,800.0,1529.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-401.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB40,0.0,8800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76609.65,0.0,0.0,-49250.0,0.0,0.0,0.0,0.0,0.0,-34717.83,0.0,0.0,0.0,148384.06,0.0,-128065.0,0.0,0.0,0.0,0.0,-24879.384,0.0,363600.13,0.0,6775.0,0.0,0.0,-160281.47,12720.0,0.0,0.0,0.0,0.0,442699.0,0.0,0.0,15212.4,-28755.0,2448.0,0.0,0.0,0.0,1092.0,0.0,156220.0,0.0,0.0,323312.5,0.0,0.0,0.0,0.0,0.0,-3320.0,21310.0,0.0,0.0,-29615.0,0.0,0.0,0.0,0.0,0.0,1761.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB41,0.0,227841.16,11090.1,74283.37,8399.37,224.6,37.1212,28.55,0.0,402.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3529.7,-12175.44,-1414.68,-30.0,163.32,0.0,0.0,0.0,0.0,0.0,55249.37,0.0,0.0,17771.6,139.54,0.0,-97770.02,-14.81,0.0,0.0,192.74,147227.701,0.0,-670.62,110.08,23421.68,10.76,0.0,12358.04,30931.18,0.0,0.0,0.0,-1427.14,24984.25,0.0,-3.37,24274.955,16165.6,8.65,0.0,0.0,0.0,1753.72,0.0,-225342.5,3658.77,0.0,22700.13,0.0,0.0,402.18,504.8,337.84,13263.64,88.97,0.0,-668114.53,170.7,0.0,38.01,0.0,0.0,0.0,4277.9,-721.1,-1796.62,3911.17,5798.59,1738.9816,0.0,-5419.8,0.0
PB42,0.0,51858.93,0.0,607600.0,238614.34,211.8,-48536.1029,-21868.75,0.0,18044.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17353.0,-551718.13,0.0,0.0,57276.25,-10026.0,0.0,0.0,66370.0,0.0,-155795.47,0.0,0.0,-12982.33,-4950.64,0.0,-72002.53,12927.37,36150.0,0.0,-222408.24,65698.364,0.0,-291081.05,0.0,-294842.92,0.0,0.0,-138912.37,-83765.1,0.0,0.0,0.0,0.0,-1579844.38,-53898.0,-24106.5,-1745554.79,-620.07,10183.62,0.0,0.0,0.0,-6207.48,0.0,50610.7,0.0,8889.68,-722250.75,0.0,0.0,9116.32,-55208.07,-78728.15,129783.2,-32993.03,0.0,-214800.0,-40330.87,0.0,-20514.25,0.0,0.0,0.0,-823.1,-27486.83,0.0,-221270.96,-47.6,0.0,1619.65,0.0,0.0
PB43,0.0,571000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1170.95,60.7,0.0,0.0,94.32,0.0,0.0,0.0,-0.02,0.0,1553.32,0.0,0.0,87.11,2.06,0.0,806.61,19.33,0.0,0.0,82.6,8759.98,0.0,-6160.76,0.0,2364.48,0.0,0.0,287.87,2227.84,0.0,0.0,0.0,0.0,519.36,0.0,0.0,2302.0,2918.15,0.0,0.0,0.0,0.0,0.0,0.0,84.14,0.0,699.24,101.5,0.0,0.0,0.0,70.48,0.0,-226.98,114.06,0.0,0.0,46.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.4,0.0,0.0,0.0,0.0,0.0
PB44,0.0,0.0,0.0,0.0,107922.03,-67525.0,-41775.77,-46448.0,0.0,47129.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14036.0,63875.0,0.0,0.0,59072.5,-28422.0,0.0,0.0,0.0,0.0,-759912.5,0.0,0.0,-18471.5,11875.5,0.0,59939.5,-13555.0,0.0,0.0,-59880.0,16344.45,0.0,-275354.13,0.0,-45750.0,0.0,0.0,267307.35,-23744.67,0.0,-20964.5,0.0,0.0,-712946.11,0.0,0.0,-288920.0,-12080.0,4020.5,0.0,0.0,0.0,-6755.0,0.0,-206515.0,0.0,3390.0,-6694323.29,0.0,0.0,-2340.0,0.0,-59171.5,10873.5,7341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15220.0,18216.5,0.0,285472.58,305230.0,0.0,0.0,0.0,0.0
